CR_PNIM,locations_count
"0472","0"
"0473","1"
"0182","0"
"2710","0"
"0031","3"
"2400","15"
"1020","0"
"0565","0"
"2600","6"
"0478","0"
"5565","0"
"5569","0"
"5545","0"
"0041","0"
"1309","0"
"0529","0"
"0070","6"
"5538","0"
"7100","0"
"6000","0"
"5533","2"
"2530","1"
"9000","18"
"5566","0"
"0482","0"
"4001","0"
"0998","0"
"0480","0"
"0466","0"
"9200","0"
"2610","0"
"6100","13"
"1066","0"
"5541","1"
"9800","1"
"1326","0"
"0944","0"
"0483","0"
"5528","3"
"6200","2"
"1292","0"
"0485","0"
"0627","0"
"0541","0"
"0628","0"
"0681","0"
"6300","0"
"2550","0"
"5532","0"
"5571","4"
"0487","0"
"5530","1"
"0166","0"
"5527","0"
"0229","1"
"0494","1"
"0489","0"
"2200","2"
"0490","0"
"0492","0"
"5520","0"
"5508","0"
"5501","0"
"5503","0"
"9700","2"
"5554","0"
"6400","5"
"5512","0"
"9300","1"
"1290","0"
"0975","0"
"5553","3"
"5529","0"
"5525","0"
"6500","3"
"6600","2"
"5536","0"
"5515","3"
"1303","0"
"0496","0"
"4000","6"
"2034","0"
"1247","0"
"6700","3"
"0962","0"
"0498","0"
"2730","0"
"2720","0"
"2100","0"
"8900","0"
"1295","0"
"0046","0"
"2660","0"
"9400","13"
"5535","1"
"0029","0"
"0499","0"
"0240","0"
"0831","0"
"3000","121"
"0502","4"
"0504","0"
"0505","0"
"1224","1"
"1059","7"
"1296","0"
"0978","0"
"0633","0"
"1263","0"
"0507","0"
"0168","0"
"0508","0"
"0509","1"
"0510","0"
"6900","3"
"0634","0"
"0654","0"
"0267","0"
"0047","0"
"1139","3"
"5518","0"
"1271","0"
"7000","1"
"5550","0"
"9984","0"
"9904","0"
"9932","0"
"9907","0"
"9924","0"
"9934","0"
"9926","0"
"9920","0"
"9971","0"
"9936","0"
"9903","0"
"9905","0"
"9930","1"
"9965","0"
"9968","0"
"9910","0"
"9940","0"
"9961","0"
"9944","0"
"9955","0"
"9928","0"
"9931","0"
"9923","0"
"9945","0"
"9917","0"
"9915","0"
"9962","0"
"9963","0"
"9958","0"
"9942","0"
"9973","0"
"9935","0"
"9972","0"
"9916","0"
"9959","0"
"9901","0"
"9919","0"
"9951","0"
"9911","0"
"9933","0"
"9938","0"
"9909","0"
"9902","0"
"9946","0"
"9929","0"
"9970","0"
"9906","0"
"9925","0"
"9941","0"
"9912","0"
"9964","1"
"9956","0"
"9967","0"
"9974","0"
"9913","0"
"9914","0"
"9950","0"
"9918","0"
"9922","0"
"9927","0"
"9939","0"
"9937","0"
"9969","0"
"9960","0"
"9975","0"
"1060","0"
"5555","0"
"1015","4"
"0516","0"
"4201","0"
"481","0"
"481","0"
"0065","2"
"0874","17"
"1722","0"
"5513","0"
"1200","26"
"0028","1"
"0517","0"
"5504","0"
"5526","2"
"0043","0"
"1268","0"
"5514","0"
"4203","0"
"0518","0"
"5552","0"
"1327","0"
"1063","0"
"0099","4"
"5502","0"
"5542","1"
"5556","9"
"0520","0"
"1770","0"
"9100","2"
"5568","0"
"1061","1"
"5531","0"
"0522","0"
"7200","1"
"7300","6"
"2500","0"
"246","3"
"246","0"
"7400","4"
"0525","0"
"0587","0"
"7500","0"
"666","1"
"0534","0"
"0530","0"
"0511","0"
"0532","0"
"4502","0"
"7600","2"
"5506","9"
"5507","0"
"5516","11"
"5509","3"
"5540","0"
"7700","19"
"0531","0"
"2560","0"
"0637","0"
"1192","0"
"0537","0"
"0535","0"
"0536","0"
"7800","0"
"0171","0"
"7900","4"
"8000","5"
"0195","0"
"0638","0"
"4100","0"
"2620","3"
"6800","0"
"6800","0"
"9500","0"
"2630","8"
"2300","0"
"9600","0"
"1137","13"
"8200","0"
"1034","1"
"0469","3"
"2800","0"
"0543","0"
"2640","0"
"0026","0"
"8300","13"
"4501","0"
"1161","0"
"8400","24"
"0542","0"
"0922","0"
"8500","0"
"8600","6"
"2650","0"
"0122","1"
"5548","0"
"8700","4"
"0913","0"
"1286","0"
"5539","1"
"1031","0"
"1304","0"
"0812","0"
"0538","0"
"5537","0"
"5534","1"
"8800","0"
"5000","67"
"0154","0"
"1054","0"
"5551","8"
"5519","1"
"5519","0"
"5519","1"
"9947","0"
