Country,Date,Confirmed,New_confirmed,Deaths,New_deaths,,,,
Italy,1/22/20,2,0,0,0,,,,
Italy,1/23/20,2,0,0,0,,,,
Italy,1/24/20,2,0,0,0,,,,
Italy,1/25/20,2,0,0,0,,,,
Italy,1/26/20,4,2,0,0,,,,
Italy,1/27/20,4,0,0,0,,,,
Italy,1/28/20,7,3,0,0,,,,
Italy,1/29/20,7,0,0,0,,,,
Italy,1/30/20,11,4,0,0,,,,
Italy,1/31/20,15,4,0,0,,,,
Italy,02/01/20,20,5,0,0,,,,
Italy,02/02/20,20,0,0,0,,,,
Italy,02/03/20,20,0,0,0,,,,
Italy,02/04/20,22,2,0,0,,,,
Italy,02/05/20,22,0,0,0,,,,
Italy,02/06/20,22,0,0,0,,,,
Italy,02/07/20,25,3,0,0,,,,
Italy,02/08/20,25,0,0,0,,,,
Italy,02/09/20,26,1,0,0,,,,
Italy,02/10/20,26,0,0,0,,,,
Italy,02/11/20,26,0,0,0,,,,
Italy,02/12/20,28,2,0,0,,,,
Italy,2/13/20,28,0,1,1,,,,
Italy,2/14/20,29,1,1,0,,,,
Italy,2/15/20,43,14,1,0,,,,
Italy,2/16/20,59,16,1,0,,,,
Italy,2/17/20,66,7,1,0,,,,
Italy,2/18/20,74,8,1,0,,,,
Italy,2/19/20,84,10,1,0,,,,
Italy,2/20/20,94,10,1,0,,,,
Italy,2/21/20,105,11,1,0,,,,
Italy,2/22/20,122,17,1,0,,,,
Italy,2/23/20,147,25,1,0,,,,
Italy,2/24/20,159,12,1,0,,,,
Italy,2/25/20,170,11,1,0,,,,
Italy,2/26/20,189,19,2,1,,,,
Italy,2/27/20,214,25,4,2,,,,
Italy,2/28/20,228,14,4,0,,,,
Italy,2/29/20,241,13,5,1,,,,
Italy,03/01/20,256,15,6,1,,,,
Italy,03/02/20,274,18,6,0,,,,
Italy,03/03/20,293,19,6,0,,,,
Italy,03/04/20,331,38,6,0,,,,
Italy,03/05/20,360,29,6,0,,,,
Italy,03/06/20,420,60,6,0,,,,
Italy,03/07/20,461,41,6,0,,,,
Italy,03/08/20,502,41,6,0,,,,
Italy,03/09/20,511,9,10,4,,,,
Italy,03/10/20,581,70,10,0,,,,
Italy,03/11/20,639,58,15,5,,,,
Italy,03/12/20,639,0,16,1,,,,
Italy,3/13/20,701,62,19,3,,,,
Italy,3/14/20,773,72,22,3,,,,
Italy,3/15/20,839,66,22,0,,,,
Italy,3/16/20,839,0,27,5,,,,
Italy,3/17/20,878,39,29,2,,,,
Italy,3/18/20,889,11,29,0,,,,
Italy,3/19/20,924,35,29,0,,,,
Italy,3/20/20,963,39,33,4,,,,
Italy,3/21/20,1007,44,35,2,,,,
Italy,3/22/20,1101,94,41,6,,,,
Italy,3/23/20,1128,27,42,1,,,,
Italy,3/24/20,1193,65,43,1,,,,
Italy,3/25/20,1307,114,45,2,,,,
Italy,3/26/20,1387,80,47,2,,,,
Italy,3/27/20,1468,81,49,2,,,,
Italy,3/28/20,1693,225,52,3,,,,
Italy,3/29/20,1866,173,54,2,,,,
Italy,3/30/20,1866,0,54,0,,,,
Italy,3/31/20,1953,87,56,2,,,,
Italy,04/01/20,2178,225,57,1,,,,
Italy,04/02/20,2495,317,62,5,,,,
Italy,04/03/20,2617,122,63,1,,,,
Italy,04/04/20,3139,522,77,14,,,,
Italy,04/05/20,3139,0,77,0,,,,
Italy,04/06/20,3654,515,85,8,,,,
Italy,04/07/20,3906,252,92,7,,,,
Italy,04/08/20,4257,351,93,1,,,,
Italy,04/09/20,4667,410,94,1,,,,
Italy,04/10/20,5530,863,99,5,,,,
