id,muni_code,municipality_heb,sample_population,index_value_2015,ranking_2015,cluster_2015,ranking_2013,cluster_2013,cluster_difference_2013,municipality_eng
300,1054,__ ___,"18,671",-2.312,2,1,3,1,0,TEL SHEVA
289,1286,___-____,"9,119",-2.271,3,1,2,1,0,SEGEV-SHALOM
250,1192,_____-____,"15,813",-2.245,5,1,5,1,0,AR'ARA-BANEGEV
79,1303,____,"19,371",-2.118,6,1,7,1,0,HURA
#N/A,3797,_______ _____,"64,179",-2.099,7,1,4,1,0,MODI'IN ILLIT
105,1059,_____,"19,025",-2.090,8,1,9,1,0,KUSEIFE
190,1060,____,"11,781",-1.961,9,1,10,1,0,LAQYE
#N/A,3780,____ _____,"49,343",-1.936,10,1,6,1,0,BETAR ILLIT
278,1161,___,"62,375",-1.915,11,1,11,1,0,RAHAT
#N/A,3660,______,"3,253",-1.607,12,2,12,2,0,IMMANU'EL
44,541,_'__ _-____,"13,962",-1.486,13,2,13,2,0,JISR AZ-ZARQA
15,1309,____,"44,872",-1.436,14,2,14,2,0,EL'AD
281,922,_____,"10,682",-1.415,15,2,15,2,0,REKHASIM
114,510,___ ____,"18,509",-1.373,16,2,18,2,0,KAFAR MANDA
4,2710,___ __-___,"52,500",-1.327,18,2,19,2,0,UMM AL-FAHM
32,6100,___ ___,"181,832",-1.307,19,2,17,2,0,BENE BERAQ
237,511,_____,"7,582",-1.268,20,2,34,2,0,ILUT
27,998,___ __-_____,"8,709",-1.241,21,2,21,2,0,BIR EL-MAKSUR
31,2610,___ ___,"103,630",-1.214,22,2,25,2,0,BET SHEMESH
224,522,___,"12,145",-1.210,23,2,20,2,0,NAHEF
294,538,___,"6,625",-1.198,24,2,26,2,0,SHA'AB
212,1327,____ _____,"14,140",-1.193,25,2,28,2,0,MA'ALE IRON
38,483,____,"7,918",-1.188,26,2,23,2,0,BI'NE
238,532,___ ____,"12,484",-1.177,27,2,22,2,0,EIN MAHEL
71,975,_____,"7,460",-1.142,28,2,24,2,0,ZARZIR
25,482,_______-___'____,"9,114",-1.141,29,2,32,2,0,BU'EINE-NUJEIDAT
113,509,___ ___,"21,132",-1.139,30,2,36,2,0,KAFAR KANNA
26,4001,_______,"6,329",-1.133,31,2,35,2,0,BUQ'ATA
36,1326,"___""_","8,914",-1.132,32,2,29,2,0,BASMA
218,520,____,"7,858",-1.095,33,2,42,2,0,MESHHED
257,8000,___,"33,330",-1.079,34,2,37,2,0,ZEFAT
268,1137,_____ _____,"3,936",-1.076,35,2,31,2,0,QIRYAT YE'ARIM
43,627,_'__'____,"9,276",-1.066,36,2,30,2,0,JALJULYE
239,4502,___ _____,"1,945",-1.030,37,2,46,2,0,EIN QINIYYE
85,962,____-_______,"6,270",-1.029,38,2,40,2,0,TUBA-ZANGARIYYE
209,4203,_____,"3,520",-1.023,39,2,44,2,0,MAS'ADE
90,8900,____,"32,048",-1.004,40,2,43,2,0,TAMRA
41,1292,_'_____-___,"20,078",-0.999,41,2,33,2,0,JUDEIDE-MAKER
247,531,_____,"24,072",-0.997,42,2,49,2,0,ARRABE
107,978,_____-____-__'__'__,"4,978",-0.995,43,2,27,2,0,KA'ABIYYE-TABBASH-HAJAJRE
102,504,_____,"13,209",-0.985,44,2,51,2,0,KABUL
259,638,_______,"21,451",-0.974,45,2,38,2,0,QALANSAWE
277,4501,_'_'_,"2,484",-0.969,46,2,58,3,-1,GHAJAR
195,481,____,"21,650",-0.968,47,2,41,2,0,MUGHAR
251,537,________,"12,389",-0.938,49,2,39,2,0,FUREIDIS
100,3000,_______,"863,795",-0.919,50,2,61,3,-1,JERUSALEM
193,516,__'_ __-____,"14,574",-0.914,51,2,45,2,0,MAJD AL-KURUM
37,944,____ _____,"7,507",-0.904,52,2,47,2,0,BASMAT TAB'UN
280,542,_____,"18,445",-0.902,53,2,52,3,-1,REINE
