Country,Date,Confirmed,New_confirmed,New_confirmed_mvavg,Deaths,New_deaths,New_deaths_mvavg,,,
Hubei,1/22/20,444,0,0,17,0,0,,,
Hubei,1/23/20,444,0,0,17,0,0,,,
Hubei,1/24/20,549,105,0,24,7,0,,,
Hubei,1/25/20,761,212,0,40,16,0,,,
Hubei,1/26/20,1058,297,123,52,12,7,,,
Hubei,1/27/20,1423,365,196,76,24,12,,,
Hubei,1/28/20,3554,2131,622,125,49,22,,,
Hubei,1/29/20,3554,0,601,125,0,20,,,
Hubei,1/30/20,4903,1349,828,162,37,24,,,
Hubei,1/31/20,5806,903,950,204,42,30,,,
Hubei,02/01/20,7153,1347,1146,249,45,35,,,
Hubei,02/02/20,11177,4024,1525,350,101,45,,,
Hubei,02/03/20,13522,2345,1994,414,64,58,,,
Hubei,02/04/20,16678,3156,2355,479,65,63,,,
Hubei,02/05/20,19665,2987,2772,549,70,69,,,
Hubei,02/06/20,22112,2447,2992,618,69,74,,,
Hubei,02/07/20,24953,2841,2755,699,81,70,,,
Hubei,02/08/20,27100,2147,2716,780,81,73,,,
Hubei,02/09/20,29631,2531,2591,871,91,78,,,
Hubei,02/10/20,31728,2097,2413,974,103,85,,,
Hubei,02/11/20,33366,1638,2251,1068,94,90,,,
Hubei,02/12/20,33366,0,1683,1068,0,74,,,
Hubei,2/13/20,48206,14840,4221,1310,242,106,,,
Hubei,2/14/20,54406,6200,4955,1457,147,117,,,
Hubei,2/15/20,56249,1843,4904,1596,139,124,,,
Hubei,2/16/20,58182,1933,4963,1696,100,126,,,
Hubei,2/17/20,59989,1807,5325,1789,93,144,,,
Hubei,2/18/20,61682,1693,2695,1921,132,122,,,
Hubei,2/19/20,62031,349,1525,2029,108,114,,,
Hubei,2/20/20,62442,411,1239,2144,115,110,,,
Hubei,2/21/20,62662,220,896,2144,0,90,,,
Hubei,2/22/20,64084,1422,819,2346,202,111,,,
Hubei,2/23/20,64084,0,480,2346,0,85,,,
Hubei,2/24/20,64287,203,451,2495,149,93,,,
Hubei,2/25/20,64786,499,469,2563,68,84,,,
Hubei,2/26/20,65187,401,505,2615,52,94,,,
Hubei,2/27/20,65596,409,302,2641,26,59,,,
Hubei,2/28/20,65914,318,366,2682,41,67,,,
Hubei,2/29/20,66337,423,410,2727,45,46,,,
Hubei,03/01/20,66907,570,424,2761,34,40,,,
Hubei,03/02/20,67103,196,383,2803,42,38,,,
Hubei,03/03/20,67217,114,324,2835,32,39,,,
Hubei,03/04/20,67332,115,284,2871,36,38,,,
Hubei,03/05/20,67466,134,226,2902,31,35,,,
Hubei,03/06/20,67592,126,137,2931,29,34,,,
Hubei,03/07/20,67666,74,113,2959,28,31,,,
Hubei,03/08/20,67707,41,98,2986,27,30,,,
Hubei,03/09/20,67743,36,82,3008,22,27,,,
Hubei,03/10/20,67760,17,59,3024,16,24,,,
Hubei,03/11/20,67773,13,36,3046,22,23,,,
Hubei,03/12/20,67781,8,23,3056,10,19,,,
Hubei,3/13/20,67786,5,16,3062,6,15,,,
Hubei,3/14/20,67790,4,9,3075,13,13,,,
Hubei,3/15/20,67794,4,7,3085,10,12,,,
Hubei,3/16/20,67798,4,5,3099,14,11,,,
Hubei,3/17/20,67799,1,4,3111,12,11,,,
Hubei,3/18/20,67800,1,3,3122,11,12,,,
Hubei,3/19/20,67800,0,2,3130,8,11,,,
Hubei,3/20/20,67800,0,1,3133,3,10,,,
Hubei,3/21/20,67800,0,0,3139,6,8,,,
Hubei,3/22/20,67800,0,0,3153,14,8,,,
Hubei,3/23/20,67800,0,0,3153,0,6,,,
Hubei,3/24/20,67801,1,0,3160,7,6,,,
Hubei,3/25/20,67801,0,0,3163,3,6,,,
Hubei,3/26/20,67801,0,0,3169,6,6,,,
Hubei,3/27/20,67801,0,0,3174,5,4,,,
Hubei,3/28/20,67801,0,0,3177,3,5,,,
Hubei,3/29/20,67801,0,0,3182,5,4,,,
Hubei,3/30/20,67801,0,0,3186,4,5,,,
Hubei,3/31/20,67801,0,0,3187,1,4,,,
Hubei,04/01/20,67802,1,0,3193,6,4,,,
Hubei,04/02/20,67802,0,0,3199,6,4,,,
Hubei,04/03/20,67802,0,0,3203,4,4,,,
Hubei,04/04/20,67803,1,0,3207,4,4,,,
Hubei,04/05/20,67803,0,0,3210,3,5,,,
Hubei,04/06/20,67803,0,0,3212,2,4,,,
Hubei,04/07/20,67803,0,0,3212,0,3,,,
Hubei,04/08/20,67803,0,0,3213,1,2,,,
